profit_center_code,fiscal_year,apr,may,jun,jul,aug,sep,oct,nov,dec,jan,feb,mar
110,2025,7.79,8.63,9.02,9.07,7.52,9.82,9.52,9.16,4.12,7.1,7.96,10.29
130,2025,7.64,7.15,7.09,6.94,7.39,8.61,9.6,9.35,5.54,10.51,10.47,9.7
140,2025,8.66,8.12,8.31,8.72,8.45,8.09,8.01,8.66,4.23,8.35,9.16,11.24
141,2025,8.78,8.92,8.85,9.19,7.75,8.17,7.38,7.38,3.23,9.19,10.14,11.01
142,2025,9.01,7.67,7.83,9.04,9.32,8.47,7.89,8.57,3.55,7.71,9.49,11.45
143,2025,8.68,8.46,7.86,8.26,7.35,8.51,9.24,8.2,4.7,9.5,8.87,10.37
144,2025,8.4,8.28,8.8,8.86,8.03,8.11,8.59,8.05,4.48,8.74,9.05,10.62
160,2025,7.41,6.91,6.85,6.7,7.15,9.61,9.84,9.35,5.54,10.76,10.46,9.43
170,2025,7.92,8.79,8.96,9.43,8.62,10.69,10.11,9.16,4.07,4.99,7.21,10.05
171,2025,10.17,10.71,9.95,10.05,8.59,10.71,9.39,7.32,2.59,3.78,5.53,11.21
173,2025,8.28,9.14,9.09,8.6,9.14,9.56,8.84,7.26,3.95,6.7,8.76,10.67
174,2025,8.05,8.6,9.71,9.99,9.14,8.53,7.97,8.36,4.21,7.53,8.01,9.88
175,2025,5.51,5.55,5.45,5.56,7.08,10.26,13.71,13.59,6.47,10.15,8.55,8.13
110,2024,10.2,10.88,10.88,7.48,6.12,10.88,10.88,9.52,3.06,3.74,7.48,8.84
130,2024,8.84,8.84,8.84,7.44,6.98,8.84,8.84,8.84,7.44,7.44,8.84,8.84
140,2024,7.77,7.77,7.77,7.77,6.22,7.77,7.77,7.77,7.77,7.77,11.92,11.92
141,2024,8.84,8.84,8.84,7.44,6.98,8.84,8.84,8.84,7.44,7.44,8.84,8.84
142,2024,8.97,8.97,8.97,8.31,4.98,9.97,9.97,9.97,5.32,5.32,9.3,9.97
143,2024,8.62,8.62,8.62,8.62,6.9,8.62,8.62,8.62,5.17,8.62,8.62,10.34
144,2024,9.16,9.16,9.16,7.07,6.54,9.16,9.16,9.16,5.24,7.85,9.16,9.16
160,2024,10.15,9.74,9.91,8.43,6.72,10.08,9.66,9.25,4.61,4.79,7.44,9.22
170,2024,11.19,9.95,11.19,9.2,7.46,11.19,9.95,8.71,2.49,3.73,6.22,8.71
171,2024,12.95,12.95,11.51,8.63,7.19,11.51,11.51,11.51,2.16,0.72,2.16,7.19
173,2024,8.2,8.2,8.2,9.02,9.84,9.84,9.84,9.84,6.56,6.56,5.74,8.2
174,2024,10.43,10.43,10.43,11.3,5.22,11.3,11.3,8.7,3.48,5.22,6.09,6.09
175,2024,8.36,8.36,5.45,5.09,3.64,5.45,18.18,18.18,7.27,5.45,7.27,7.27
